id,name_en,name_ru,name_he,path_en,path_ru,path_he,order_number,folder_id
1,file1,file1,file1,http://1.pdf,http://1.pdf,p_he_1.pdf,1,1
2,file12,file12,file12,http://2.pdf,http://2.pdf,p_he_2.pdf,2,1

3,file2,file2,file1,http://3.pdf,http://3.pdf,p_he_30.pdf,0,2
4,file21,file21,file2,http://4.pdf,http://4.pdf,p_he_4.pdf,1,2

5,file1_1,file1_1,file1_1,http://5.pdf,http://5,.pdfp_he_5.pdf,0,3

6,file1_2_1,file1_2_1,file1_2_1,http://6.pdf,http://6.pdf,p_he_6.pdf,0,5
7,file1_2_1,file1_2_1_2,file1_2_1_2,http://7.pdf,http://7.pdf,p_he_7.pdf,1,5
